title,genres,rate,picture,rate,summary,country,評論1,評論2,評論3,評論4,評論5
斷箭 ,動作、驚悚、犯罪,7.3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2372798569.jpg,02/09/1996,飛行員迪克斯（約翰•特拉沃塔 John Travolta 飾）和希爾上教（克里斯汀•史萊特 Christian Slater 飾）搭檔多年，雖然表現出色，但一直沒有獲得晉升。心中不服氣的迪克斯決定用自己的手段向政府討回他應得的一切。於是，在一次飛行任務中，迪克斯為了劫持隱形飛機上的兩枚核彈，將希爾打出了機艙，幸虧希爾攜帶有降落傘，才倖免於難。迪克斯取得核彈後，向政府要挾鉅額贖金，不然就將在城市中引爆核彈。另一方面，希爾和美麗女警泰麗（薩曼莎•瑪西絲 Samantha Mathis 飾）正在極力追尋迪克斯，搶回核彈！,美國,Hill問Dick，你綁架核彈能得到什麼，Dick回答：我的經紀人幫我買了5%的VOLVO股份，光紅利夠我吃一輩子了。 現在想想覺得有點娛樂精神，Dick估計沒想到在2010年，VOLVO易主吉利汽車，被一箇中國農民企業家李書福給收購了。,星運沉浮有時與政治氣候變遷密切相關。約翰屈伏塔。70年代末，週末狂熱和油脂席捲全球。等里根上臺，鐵血硬漢吃香，屈服了幾乎整個八零年代。轉入九零，蘇聯解體，冷戰結束，很快就借昆汀再度崛起，之後更與吳宇森的浪漫暴力美學高度契合。變臉造就片酬1500萬。但新世紀伊始，911！……完。說明，不同意識形態主導下的好萊塢，需要不同型別的主流電影，而這也就意味著需要對導演和演員進行選擇性側重和篩選。,吳宇森在好萊塢的第二部電影，第一部的《終極標靶》吳宇森並沒有主使權，所以這部《斷箭》才是吳宇森在好萊塢真正意義上的處女作。動作場面很激烈，場面很火爆，可惜劇情偏弱。,後半截編劇明顯放水了 配角智商也太低了 死的簡直匪夷所思 整體還算精彩吧 看大片就不要求那麼多了。。,Christian Slater難得那麼帥氣啊...
巡弋悍將 ,動作、犯罪,6.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2327947600.jpg,11/06/1992,安保專家卡特（韋斯利•斯奈普斯 Wesley Snipes 飾）在阻止一次超市搶劫案時，因為處理失誤導致妻子身亡，自感愧疚的卡特狀態低沉。好友試圖幫助他重新振作，推薦卡特擔任航空公司安保教師一職，卡特乘坐航班前往洛杉磯公幹。在同一班客機上，著名恐怖分子查爾斯•雷恩（布魯斯·佩恩 Bruce Payne 飾）也在FBI的押解下前往加州受審。窮兇極惡的雷恩早已在空乘人員內部安插了自己的手下，一班匪徒在飛機起飛不久即控制了飛機，孤立無援的卡特放掉了燃油迫使飛機降落在一處小型機場，當地警方在FBI到來前試圖控制局勢，卡特反被他們誤認為是恐怖分子一夥，他如何憑藉一己之力力挽狂瀾，拯救機上百多人的生命？,美國,"典型的美國英雄主義影片，情節比較緊湊，主角的打鬥融合了中國功夫的元素。但情節嘛，就那麼回事兒，個人英雄主義，最終還不忘抱得美人歸。

看個熱鬧還可以。

片中飾演恐怖分子的那個人還真挺恐怖的，尤其是眼神。",女主角居然是Michael Jackson/片子裡說以色列航空沒被劫持過，實際上被劫持過一次,不錯的片子，值得收藏和懷念的片子！,6，90年代黑人第一打星拍的一部非常無趣的爆米花片，一號壞角還長的很像肯尼G，所以原聲裡面才有這麼多薩克斯麼,"剛在電影頻道看了開頭一點，感覺還不錯。20100528-154543.
92年的片子，現在看來中規中矩，80分鐘劇情緊湊。反女一 伊麗莎白·赫利，真是勾魂奪魄的笑容~。女主Alex Datcher，果然跟邁克傑克遜一個模子的臉型。最後關頭，男一號踢反一號的褲襠踢的很爽啊-囧-"
雙子殺手 ,劇情、動作、科幻,6.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2554402180.jpg,10/18/2019,"效力於美國國防情報局的特工亨利·布羅根（威爾·史密斯 Will Smith 飾）是一名頂尖狙擊手，在他的職業生涯中，曾奉命掃除許多威脅國家安全的恐怖分子。執行任務時的他下手果斷，毫不遲疑。可是最後一次任務險些失手，卻讓他產生了動搖，進而提出解甲歸田。怎奈放下屠刀的他，偶 然聽到了一個有關國家機密的大事，隨即便招來殺人之禍。在躲過政府第一次圍剿之後，他偕同因監視自己而意外被捲入其中的女特工丹妮（瑪麗·伊麗莎白·溫斯特德 Mary Elizabeth Winstead 飾）展開逃亡，投奔昔日戰友巴倫（本尼迪克特·王 Benedict Wong 飾）。
                                    
                                　　未曾想新的殺手陰魂不散，尾隨而至。更令亨利驚訝的是，追殺他的竟是年輕了23歲的另一個自己……",美國 / 中國大陸,四星半。《雙子殺手》昨天國際評分開分，不是太理想，但我堅持自己對於李安的判斷：這部電影的最重要看點，並不在於拍了什麼故事，而在於用什麼樣的方法/技術手段去講故事。這是關心故事和奇觀的觀眾，通常會忽視的切入點，他們不曉得，安叔要做的，以及懷揣的雄心，其實是要重生一種新的電影語言概念——它可以放置於各種傳統商業型別當中，正如《比利林恩中場戰事》《雙子殺手》和未來的《馬尼拉之戰》中，並配合道道地地的李安作者風格，比如對父子關係的一貫探索。講真，想到一種面向未來的電影語言可能由我們華人開創，我是激動的——戈達爾說，電影始於格里菲斯，終結於阿巴斯。安叔要做的，就是當21世紀的格里菲斯。,熱評裡那一大段五星好評看的我都臉紅 安叔這次確實是失手了 如果說比利林恩算講了個好故事 那雙子殺手真的不及格 劇情老套 動作場面算流暢 但是文戲太糟糕靠動作戲也補不回來了 希望早日迴歸華語電影 太想看到安叔拍華語電影了,哇靠這個炫技，真假史密斯的打架CG都不說了，這是一部三分之二的時間裡都是弱光場景的3D電影，它不僅有120幀、甚至還有慢鏡頭的120幀（但整個荷蘭也沒有一塊4K 120幀銀幕，我看的只是2K 60幀。有些場景十分驚豔，例如大範圍的海水、此刻盡絲滑的高速動作戲乃至摩托車上的第一人稱視角鏡頭，令人感嘆科技真的拓展了影像語言的可能性。只是這種新穎的表達的效果還十分有限，劇本和臺詞與其說是意料之中的爛（父子關係的核心還行），倒更有可能是對技術野心做出的妥協吧。,父子倫理與時間年輪的點水探討是習慣性策略表達，型別元素是骨骼支撐，幾場動作戲繼續“比利·林恩”中例如演唱會段落、戰爭段落等用以測試探索全新視覺革新下的場面排程、畫面美學和空間運動的重置標準，是真正起點，好比那隻蜜蜂，服務於主角體質製造戲劇功能倒是其次，更多的作用其實等同於比利·林恩回家後房間中的那隻蒼蠅。各種更加豐富的多焦點長縱深置景，光線、建築、植被、灰塵、槍火、影子、水波都開始參與對故事情節注意力的分散搶奪，甚至表演面孔都被減齡與高幀技術多元拆解細化。九十年代的美國動作片剛剛脫離B級製作的粗糙和平面，追求更加極致豐滿的全球化視角下的視聽造戲，且還未被新世紀流行起來的高速剪輯摧毀流暢持續運動與充分環境感知，李安以此為材料切入，不止錘鍊鍛造未來前沿，挽救曾經大眾影像的真切流動，更是重中之重。,明明是和自己的克隆人對話，但卻處處都像是在跟自己的兒子對話。更深一層是，李安打通了故事層面和技術層面的“創造”。影片開頭的高速火車狙擊戲，威爾史密斯要在高速運動的無數窗戶中射擊某一個窗戶，這就是李安自己面對每秒120幀的任務。故事中的人創造了克隆人，恐懼克隆人，接受克隆人，與此同時李安也在面對電影行業的“克隆人”。
安娜 ,動作、驚悚,7.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2553320254.jpg,06/19/2019,"20世紀80年代末，蘇聯情報機構克格勃迎來了新一任掌門人瓦西列夫（艾力克·高敦 Eric Godon 飾）。隨著他的上任，克格勃和美國中央情報局CIA的諜戰平衡被打破，諸多潛伏蘇聯的CIA探員被捕，局勢分外緊張。在此大環境下，軍人後代安娜（薩莎·露絲 Sasha Luss 飾）卻過著頹廢墮落的生活。當處於人生最低點時，她被招募進了克格勃。憑藉出眾的外貌以及卓越的領悟力，安娜很快成為一名出色幹練的特工。此後的歲月裡，她如同一臺無情的殺人機器，按照組織的命令處決了一個又一個目標。但是在安娜的內心最深處，她時刻渴望重新獲得自由。
                                    
                                　　遺憾的是瓦西列夫決不允許有任何一名克格勃活著退出組織，在絕望之際，安娜的命運走到了十字路口……",法國 / 美國 / 加拿大 / 俄羅斯,不要有期待，忽略那些低階bug，享受超模。,是我向往的感情生活。,同樣的KGB背景下，這才是紅雀該有的樣子——冷漠、美顏、剋制，九頭身女特工不需要演技爆發，不需要太多情感流露。凱倫米勒和墨菲錘哥還彌補不了演技缺口的話，如何體現女主的弱小無助楚楚可憐又暗地自成一派的剛強呢。該享受美好肉體的時候你在討論演技，我覺得這在褻瀆我的視覺功能。,俄羅斯大長腿版尼基塔，真超模帶您領略正版紅雀風采（此處無diss大表姐）。男配擼哥和墨菲都是我菜，女爵一如既往優秀所以看得還挺開心。我只有一個問題。90年的手機？膝上型電腦？貼身剪裁西裝？？？這是平行世界831的90年？？,呂克·貝松估計是看了“紅雀”後被大表姐的身材惡到了，才會找個美豔冰霜逆天長腿的名模來把紅色間諜的故事再拍一遍。前3/4靜靜看你扯淡，最後1/4反轉才真的好玩。基本上這個故事就是：沒有什麼能夠阻擋，老孃我對自由的嚮往啊啊啊~~~~~
鬼影特攻：以暴制暴 ,動作、驚悚,6.4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2574329643.jpg,12/13/2019,來自世界各地的六人，個個都是各自領域的佼佼者。他們之所以被選中，不單是因為能力出眾，還在於其獨特的志向：他們想抹殺自己的過去以改變未來。一位神秘的領袖（瑞恩·雷諾茲飾）將他們召集到一起組成了這個團隊，他畢生唯一的使命就是確保即使他和自己的同伴會被遺忘，但也要讓人們永遠銘記他們所做的一切。,美國,羅馬街頭賽車，大廈泳池瀑布，手雷極限跑酷，遊艇磁鐵吸盤，所以原諒我打的高分，因為我很長時間沒看過像樣的動作片了。煙火，爆炸，騷話，惡趣味，經典麥考貝元素。所以說老貝還是別再開發變形金剛了，PG13根本體現不出他腦子裡的奇思妙想，分級一放開他什麼花樣都能給你玩出來。,賣複製：害…行活兒行活兒，什麼叫國際大片啊！說罷便戰術後仰有點兒膨脹。然而瑞恩·雷諾茲這麼些年了，其實一直都在演“死侍”。,不考慮售後 零配件週期逆天，買羅密歐的中國車主才是真的壕,我覺得這片子的分數低了，雖然劇情充滿了一副雅各賓派加精英寡頭的理想主義色彩，但就這動作片本身，還是挺好看的，不要對這種片子的內涵要求太多，不帶腦子看個爽我覺得就挺好的。,本以為看個爽就行了，誰知道能亂成這樣，這不能讓人爽，這讓人煩！（強行插入007梗也毫無意思）
蜘蛛俠：英雄遠征 ,動作、科幻、冒險,7.6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558293106.jpg,06/28/2019,"在與滅霸史詩般的戰爭結束後，地球似乎暫時迴歸和平。皮特（湯姆·赫蘭德 Tom Holland 飾）回到了校園生活之中，他和好友相談甚歡，並且有了心儀的女孩，然而內心最深處依然放不下對鋼鐵俠的追悼緬懷。去往歐洲遊學的路上，皮特試圖找機會和個性女孩米歇爾（贊達亞 Zendaya 飾）表白，誰知接連出現的元素怪獸打亂了他的表白計劃。在這一過程中，與神盾局合作的神秘客（傑克·吉倫哈爾 Jake Gyllenhaal 飾）挺身而出，擊退怪獸。自感不堪大任的皮特謝絕了尼克·弗瑞（塞繆爾·傑克遜 Samuel L. Jackson 飾），情願將鋼鐵俠繼承者的重任交到神秘客手中。
                                    
                                　　令他意想不到的是，更可怕的危機接二連三襲來……",美國,當看到前30分鐘的時候，我猜測這部應該沒啥看點又要學上一部歸來講小屁孩歐洲旅遊順便談戀愛最後一把雞湯責任越大能力越大的那點破事，結果劇情就成功反轉奧創紀元2.0。當看了電影前58分鐘我還在懷疑Marvel 這部電影編劇強行划水，從環太平洋搬來幾個怪獸模型搞個爛慫反派拍續集，然後被編劇狠狠打了臉。當看到電影提到神秘客說稱自己是來自平行宇宙的超級英雄時，我還在思考會不會是為下一部新solo客串加鋪墊時候，然後編劇狠狠嘲諷了平行世界腦洞。最後彩蛋，當出字幕時思考為啥尼克之前說過不要再提驚奇隊長的話是什麼意思時候，彩蛋解釋原來是斯克魯人。非常精彩的多次反套路出牌，Marvel 再次用這部電影證明了自己在把控故事結構和氣氛高潮到了爐火純青的境界，同期上映的那部福克斯的簡直就是丟死人了！,整部電影都是局長欺壓童工和外星務工者再洗白的實錘，超級英雄這一身份給紐約好鄰居的責任和煩惱比蛛絲粘得更緊，總而言之是有突破有傳承的續集，小蜘蛛犯了每個青少年都會犯的錯：輕信於人和戀愛腦，但他也只是一個失去五年時光，失去人生導師鋼鐵俠，渴望真愛和友誼的孩子，免不了被老吉這個極具迷惑性和深度的反派敲打一番，號角日報老闆迴歸遼，蜘蛛俠宇宙終於聯動了，抱住索尼大法暴風哭泣，致敬三巨頭cue到了驚隊奇異博士，塔羅斯可可愛愛PS特效服不防彈，老吉你記住了嗎？橙色軍團：打擾了，荷蘭弟去荷蘭這個梗真的不是故意的嗎？,知道小蟲為什麼把AC/DC說成齊柏林飛艇嗎？因為荷蘭弟是英國人！,這部不如叫《蜘蛛俠：無家可歸》如何？開場I will always love you受到一萬點暴擊，殺傷力堪比三千遍。無處不在的鐵人粑粑，每隔幾分鐘就要被捅刀。小蟲在飛機上紅著眼眶說我想他了，簡直讓人心碎。我也想他！做蜘蛛戰衣的那個神態動作，一個恍惚彷彿看到了08年的鋼鐵俠，還有AC/DC的Back in Black，天，漫威是魔鬼，專往粉絲心上插刀。還有在倫敦橋上拎著反應堆做的錘子，舉著路牌，一次性致敬三巨頭。小朋友最終還是要長大面對這個世界的惡意。小蟲真是全世界最善良可愛的崽了55555,荷蘭弟很好，但是最終超級英雄還淪為賣情懷的賺錢工具
疾速追殺3 ,動作、驚悚、犯罪,7.9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2551393832.jpg,05/17/2019,約翰·威克經歷了前兩次的追殺、特攻之後，由於執意破壞酒店規矩，因而遭到懸賞通緝，全球殺手聞風而至、一路追殺。這次他又將如何殺出重圍，終結這場逃亡之旅。,美國,"年紀還是大了。當基努叔說出那句自己在駭客帝國裡的經典臺詞""Guns. Lots of guns""的時候，影院裡除了我，幾乎沒人有反應",看的點映。這不成喜劇片了麼？//墨菲斯終於又見到了尼奧！🥰🥰🥰,"John Wick化身李尋歡使用刀的時候還是很有創意很飈腎上腺素的,其他的打鬥已經審美疲勞了; 日本迷弟是有政治隱喻的吧, 尤其對狗狗說sit stay的那一段,不得不讓人多想,連動作片都有政治隱喻了......",劇情越來越蠢，打架越來越好看，這一集動刀子比例大了很多,全年最精彩動作片，最值得一看的動作系列片，John Wick的宇宙世界。啊我愛基努裡維斯
終結者：黑暗命運 ,動作、科幻、冒險,6.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2571762536.jpg,11/01/2019,《終結者2：審判日》發生的27年後，由於未來天網派來T-800成功殺死年幼的約翰，以致令未來產生變化，一個全新進化的液態金屬終結者從未來派出，目的是追殺持有關鍵訊息的丹妮·拉莫斯、半生化人葛蕾絲和她的朋友。這使莎拉·康納以及成功殺死約翰的T800終結者前來幫助她們一行人，以共同為了人類的未來而戰。,美國 / 西班牙 / 匈牙利,這是一個講述富士康工廠的流水線小妹，由於機械自動化，不幸下崗，而帶領全人類反抗現代文明的故事。,女性救世主還是墨西哥裔，政治正確做足了，然而劇本照抄終結者2從頭到尾不走心。“我不會再回來了”——希望州長說到做到…,這反派差點給我看睡了，翻來覆去就那套路,收割情懷的用意太過明顯，但我認了，小時候錄影帶裡的終結者那簡直就是天外飛仙啊！,如果你是《終結者》粉絲，除非你認為系列中止在《終結者2》“陽光結局”已足夠完美，否則《黑暗命運》就是繼續下去的最佳選擇，它是你期待多年的《真.終結者3》。本作單是秉承一二兩部場面逐步升級並用無喘息追殺造成強壓迫感就完勝《終結者3》《終結者2018》《終結者創世紀》了。雖否定以上三部續集，卻保留延伸部分創意，集大成於一身，比如Rev-9分明是嘲笑當年T-X“皮骨不能分離”的弱點而做的升級，格蕾斯的賽博格強化人設定像“2018”的馬庫斯，老年T-800延續“創世紀”的做法等等...從1984年的冷酷殺人機器到1991年有溫度的機器人，再到2019年更像人的機器人，完成對T-800的三部詮釋後“I won’t be back”是意料中的必然，謝幕之作戲份也不多挺遺憾的。
第一滴血5：最後的血 ,動作、驚悚、冒險,7.6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564519086.jpg,09/18/2019,西爾維斯特·史泰龍迴歸[第一滴血5]，並有望執導。除主演外，據悉史泰龍將操刀劇本，故事圍繞蘭博為營救朋友之女與墨西哥毒梟展開殊死搏鬥展開。製片艾威·勒納([敢死隊]系列)。該系列首部於1982年上映，2008年史泰龍曾自導自演[第一滴血4]。[第一滴血5]將在本屆戛納電影節預售，9月開拍。,美國 / 西班牙 / 保加利亞,2019最牛逼的電影，掏心掏肝的說，真牛逼,"蘭博老矣，尚能飯否?

——能。","偉大的蘭博，年輕時一個人幹掉一支軍隊的漢子，最後一部電影和一群皮條客糾纏。英雄暮年，在家人的陪伴中暫時找回寧靜，無奈註定漂泊一生，至此，再無家可歸。
最後一分鐘的閃回，就值得去電影院了，如果從致敬的角度出發。
女主還是帶個腦子吧。
友情提示，血腥場面可能會引起不適。
電影本身三星，加一星為了年輕的蘭博。",有了這部，蘭博這個人才完整。,觀于吉隆坡KLCC。在一個充斥著娘娘腔的當代中國，能看到這樣一部電影實在是三生有幸。Rambo未老，還能再戰！
獵魔人 第一季 ,動作、奇幻、冒險,7.5,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2574764569.jpg,12/20/2019,《獵魔人》改編自暢銷的奇幻小說系列，講述了一個關於命運和家庭的史詩故事。利維亞的傑洛特是一名獨居的獵魔人，他努力在這個人類比野獸更邪惡的世界上尋得自己的一席之地。但命運將他推向一名強大的女術士和一位身上暗藏著危險秘密的年輕公主，他們三人必須學會共同在日益動盪的大陸中前行。,美國 / 波蘭,網飛用實力告訴我hbo權遊第一季有多麼強悍,看完第一集，那道具是一眼看出是塑膠做的，打仗跟鬧著玩似的，對，黑社會對砍的那種，配樂流水線製作，毫無感情。看之前以為會是史詩鉅製，看完才知道原來是開玩笑！,一群中世紀人講著美國俚語…貴族們說“shit”、“fuck”這些詞讓人不適。,一覺醒來看到很多觀眾跟我的想法一樣，鬆了一口氣。還以為自己因為不懂遊戲和原著失去了判斷力。一半臺詞是廢的，似乎劇情越是緊張越是撿沒要緊的說，讓人著急，對本來就蒙圈的路人尤其致命。第二集那個遊吟詩人damn irritating。製作看上去錢很不夠的樣子，比《梅林傳奇》都差。《梅林》好歹還有幽默感。本來以為可以看我亨，結果發現很難忽略其餘難受的部分。聽說第二集出現的那個有殘疾的女孩是女主，會變成大美女。美女不美女的先不說，這個姑娘的性格很不討喜啊。兩集棄。過一陣子看我亨的混剪好了。三星都給我亨。,全劇顏值最高女角色竟是——傑洛特老母！！！
